experiment_id,title,track,disposition,conclusion,current_successor,canonical_evidence,reason
exp16,Tiny recursive Sudoku baseline,reasoning_exploration,historical_only,inconclusive,none,results/exp16_tiny_recursive_retry_3seed_report.md,The retry did not show a reliable recursive-state advantage and the route was abandoned
exp17,Tiny recursive calibration,reasoning_exploration,historical_only,inconclusive,none,results/exp17_wichtounet_3seed_report.md,Calibration-only exploratory stage did not yield confirmatory evidence
exp18,ARC recursive canary baseline,reasoning_exploration,historical_only,inconclusive,none,results/exp18_arc1_canary_seed3000_20task_report.md,Small canaries were not an official large-scale HRM or TRM reproduction and were not promoted
exp19,Belief-controlled E/I checkpoint audit,belief_ei,historical_only,mixed,exp21,results/exp19_belief_ei_effective_dynamics_formal_report.md,Narrow checkpoint evidence was superseded by the identifiable full-trajectory Exp21 protocol
exp20,IBL belief-conditioned neural prediction,legacy_real_data,historical_only,inconclusive,exp25,results/exp20_ibl_md_belief_dynamics_formal_report.md,Negative or incomplete neural validation is retained but the protocol was superseded by Exp25
exp21,Belief-controlled high-rank E/I trajectories,belief_ei,current_foundation,support,none,results/exp21_belief_ei_full_trajectory_formal_report.md,Current bounded evidence for low-dimensional effective control closure and normal recovery on a frozen high-rank receiver
exp22,Off-policy local gain-axis proposals,controller_learning,historical_only,mixed,exp23,results/exp22_hidden_context_local_gain_axis_formal_report.md,Off-policy frozen-trajectory proposal audit was superseded by the closed-loop test
exp23,Closed-loop local population-gain controller,controller_learning,historical_only,oppose,exp24,results/exp23_failure_probe/report.md,The tested local rule axis and budget failed held-out behavior despite positive gradient alignment and was abandoned
exp24,Factorized actuator capability benchmark,actuator_matching,current_core,support,exp26,results/current/claims.csv,Current oracle capability evidence that task demand reverses the useful control family
exp25,CompositionalTasks shared belief dynamics,real_neural,current_open,inconclusive,none,results/current/claims.csv,Active fail-closed real-data endpoint remains open because the canonical neural bundle is unavailable
exp26,Continuous actuator demand phase diagram,actuator_matching,current_core,support,none,results/exp26_actuator_matching_formal_v2_e08beaf/formal/report.md,Current preregistered 30-seed evidence for task-to-actuator matching geometry
exp27,Descriptor actuator selector development panel,selector_learning,historical_only,support,exp29,results/exp27_actuator_selector_formal_v1_c445191/formal/report.md,Positive development result was superseded by the independent one-shot Exp29 confirmation
exp28,Independent selector sensitivity and source amendment,selector_learning,historical_only,inconclusive,exp29,results/exp28_selector_sensitivity_v2_07b5ce2/summary/report.md,The original source ceiling was invalid and the amended analysis remained permanently non-confirmatory
exp29,Independent descriptor-selector confirmation,selector_learning,current_core,support,none,results/exp29_confirmatory_v1_94fa1c8/summary/report.md,Current one-shot held-out evidence for low-dimensional actuator-family selection
exp30,Associative actuator trend panel,associative_control,historical_only,inconclusive,exp31,results/exp30_associative_actuator_trend_smoke_v1/report.md,Five-seed positive control was exploratory and superseded by the formal hidden-reliability test
exp31,Hidden-reliability reward-only selector,reward_controller,current_core,support,exp32,results/exp31_hidden_reliability_reward_selector_formal_v1/report.md,Current 30-seed evidence that scalar executed reward can select between two fixed motifs within reset blocks
exp32,Persistent sparse-feedback controller,reward_controller,current_core,mixed,none,results/exp32_feedback_memory_timescale_phase_v2/report.md,Main continuous-HMM controller claim is supported while the registered iso-lambda timescale structure remains inconclusive
exp33,ORBIT reward-only streaming selector,real_task,historical_only,inconclusive,exp34,results/exp33_orbit_streaming_fewshot_smoke_v1_failed/report.md,Substantial actuator headroom was present but the reward-only selector underperformed fixed and credit-shuffled controls on held-out users
exp34,ORBIT causal consensus belief gate,real_task,current_core,mixed,none,results/exp34_orbit_causal_consensus_formal_v3_official_video_exclusion/report.md,Corrected 17-user task and causal-state effects support; strict untouched-first-look confirmation is inconclusive after the invalid 15-user coverage attempt and no efficiency or SOTA claim is made
