participant_id,fold,method,candidate_id,block_id,true_process_variance,true_observation_variance,conditional_update_nll,conditional_update_mse
64,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,2.8959129923496048,16.274678336783673
66,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.7877834383770166,9.641649941942855
66,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.913333227468541,78.68663751993469
66,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.694745306625691,65.27772356022858
66,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,4.746433874918449,129.79181688372248
67,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,3.120329212370492,30.041119656228567
67,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.9973259229821205,22.495686597485715
67,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.315403175361306,42.00760881737143
67,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.0033485556371415,22.865135022497952
72,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.8030339097322132,10.577164848065307
72,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.9952816525513986,22.370284213812248
72,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.887034034747707,15.730013388800002
72,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.1065828326670233,29.19787076127347
76,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.8497105207974465,13.440464243983671
76,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.8831550870157114,15.492065764832653
76,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.7668836898861557,8.359589486759184
76,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.1312132815201608,30.708784851069385
92,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.6939488807870915,3.88552442357551
92,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.260846236632142,38.66090377299593
92,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.8148427266032985,11.301557160228572
92,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,4.406421115905103,108.93429734086529
95,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.6750571197969704,2.7266406358204094
95,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.682439103202694,3.179476181159183
95,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.808434584206077,10.908460278595918
95,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,2.7860159206074435,9.533224491885715
97,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.717985265818159,5.359996652146939
97,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.8175689829831,11.468794842383675
97,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.991233622904452,22.121964539820407
97,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.1300534296514724,30.637635659232654
101,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,3.1080068167984622,29.285222709289798
101,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.952363845925209,19.73756245054694
101,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.204641069293535,35.21309087451428
101,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.146061317049568,31.619612998008158
102,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,3.1992691645695124,34.88356027663673
102,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.824033133345805,73.20867115258775
102,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.877057949395737,15.118046956146939
102,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.74184892237207,68.1672168510694
106,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.730604011957236,6.134072733779592
106,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.8493825859848165,13.420347626057142
106,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.185714661961686,34.0520817643102
106,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.2466078964548166,37.78747637760001
107,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.6876776714976116,3.500827476636734
107,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.712736409229041,5.038014238302042
107,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.891171462040201,15.983817013289796
107,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.1142152139396835,29.666066549028564
112,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,3.1650479814897263,32.78431848071836
112,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.598937230863589,59.40053583830204
112,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.76573717681578,69.63260225410612
112,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,4.088546210970875,89.43478778984492
115,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.9958403585723494,22.404557109289797
115,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.0164707521625305,23.670094434220406
115,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.059756302486466,26.32537482553469
115,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.353772370003615,44.36130351229388
116,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.676741742804272,2.8299810439836737
116,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.0281345265697435,24.385589356669385
116,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.281685897260539,39.93927823777959
116,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.2514684681876758,38.08564010004897
118,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.6482316190888375,1.081074725616326
118,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.6818642362474523,3.1442119199346936
118,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.722590266784266,5.642482809208164
118,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,2.7400508881684,6.713575708212246
125,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.6850891094230542,3.3420364235755096
125,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.7535847527305974,7.5437882138122445
125,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.7999790371957944,10.389768752065304
125,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,2.7625320033480536,8.092642483722448
132,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.8382659347507797,12.738415068473468
132,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.182118931891394,33.83150765871021
132,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.1066438746836047,29.20161528267755
132,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.154970877625438,32.16615523474286
133,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.686045018002901,3.40067505214694
133,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.939765046131345,18.964709944424488
133,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.7807734832325632,9.211635854106122
133,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.021097038451053,23.953886304130613
145,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.7109648336472216,4.929339868473469
145,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.710259042493125,4.886044279118368
145,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.7683230971926176,8.447887543902041
145,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.041436927950668,25.201603136783678
155,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.7453163407980785,7.036576178677549
155,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.803104101244656,10.581470630138778
155,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.938530881981783,18.889002188799996
155,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.1605443225380614,32.508048981681625
157,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.909405997257991,17.10238437459592
157,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.2449520996126373,37.68590426279184
157,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.053931765281117,25.968078237779586
157,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.4643960951076718,51.14733270413061
163,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.6500285957195593,1.1913072807183678
163,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.7133719157991063,5.076998336261225
163,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.938907580038471,18.91211010716735
163,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,2.8748575213278795,14.983065340865302
180,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,3.153730653466189,32.09007573786122
180,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.0031884621483322,22.855314352587754
180,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.382705499728606,46.13615843369796
180,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.5178859757046634,54.428580834742846
181,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.6510351792584217,1.2530544807183672
181,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.6941565504824654,3.8982635770775516
181,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.715236010127008,5.191348115330614
181,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,2.7351532513226595,6.413138287804081
182,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.9705052637680898,20.85041768071837
182,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.157830756190013,32.34158974850612
182,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,4.581133702259798,119.6517515765551
182,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,4.303005720609937,102.5904512020898
184,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,3.1841342661880727,33.95513500316734
184,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.657014890094734,62.96321365054694
184,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,4.459481845587391,112.18921991941225
184,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.2903923215313853,40.473359414334695
185,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.792700527593578,9.943280635820408
185,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.896343487828532,16.30108636891429
185,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.6212418151307526,60.76877361737143
185,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.572762629785139,57.794898287804095
201,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.6703459327332113,2.437640668473469
201,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.7416901389806654,6.81413283422041
201,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.740369733715977,6.7331347602285705
201,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,2.797821124992712,10.257395202089793
210,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.9776559859428984,21.28906688888163
210,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.2847230679351065,40.12558844238368
210,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.888975217833229,15.849092050024494
210,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,4.530254329418371,116.53064072045714
216,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.7311603804232374,6.168202235820409
216,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.890667313276303,15.952890842383674
216,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.793405515579382,9.986526956146939
216,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.0565752330520417,26.130237389844904
218,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.6866074504303845,3.4351765378612256
218,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.791968709099187,9.898388442383673
218,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.7081354859704256,4.755778221453062
218,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,2.81254394653095,11.160542304130617
5,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.885796637772391,15.12944016596939
5,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,4.768991681041022,134.55372690571426
5,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,4.402848968097229,111.33450036061224
5,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,5.3814174284128145,173.39118472632651
17,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.7137247193271383,4.217364859846939
17,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.8213153416564656,11.040308334285715
17,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.7272995605435146,5.0782240340816305
17,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,2.7337487128660642,5.487202073265304
19,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.8092420610175903,10.274671798622448
19,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.8041714344511504,9.95311404857143
19,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.882758319082064,14.936762809591837
19,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,2.8172260593444496,10.780983297755103
23,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,3.62871869630222,62.242423635357135
23,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,4.327758345051479,106.57256976285714
23,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,3.4558626170224866,51.28062015653061
23,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,3.9013274220146217,79.53011921612244
26,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.7314382040542906,5.340679349642858
26,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.949006525825283,19.137944660816324
26,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.9510991418717296,19.27064954428571
26,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,3.2565452095021805,38.64075084877552
30,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.899400436070193,15.992135676173469
30,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,3.1129180665761145,29.532523232244895
30,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,3.1111588602845943,29.42096178918368
30,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,2.9452927600272343,18.902433297755103
32,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.7419027979604564,6.004299757806121
32,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.840921582540602,12.283653436326532
32,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,3.1153920272099795,29.689411381020413
32,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,3.231795058212358,37.071200644693874
37,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.694821017136958,3.0185717986224483
37,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.8273357898037927,11.422099762857144
37,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.9324551091562605,18.088323625918367
37,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,3.0401856257391935,24.920138603877547
46,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.9139107105786124,16.912316084336737
46,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.95176234532107,19.312707109795912
46,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,3.122865908698658,30.16337342183673
46,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,3.158302575706752,32.41061737938775
50,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.7376443717592465,5.734248329234693
50,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.737350419389875,5.715607109795918
50,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,3.2322448709423175,37.09972587081632
50,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,2.7888163381230506,8.97935860387755
52,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.671645259871429,1.5488630231122449
52,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.836368096846049,11.99489057918367
52,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.9598089611103053,19.82298954428571
52,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,3.1321074644700544,30.74943391
58,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.7158778368615337,4.353906492499998
58,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.7627788348523716,7.328169966938775
58,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.7193738472819953,4.575608727959184
58,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,2.735542980696213,5.600986971224487
61,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.712292944149412,4.126567716989795
61,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.7781986235069906,8.306027926122448
61,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.9100477532855447,16.667343625918367
61,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,3.1817578198276157,33.898050032448985
63,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.7996064051653695,9.663619145561222
63,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.9761899508804732,20.861802824081632
63,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.9550914912574,19.523827503469388
63,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,2.958704582679728,19.75295452224489
69,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.7114751795195544,4.074708533316329
69,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.9858583932662768,21.474934660816327
69,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,3.327638526175,43.14918913612246
69,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,2.9221682936698583,17.43597717530612
79,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.683694623124256,2.3129828190306116
79,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.741829137756713,5.999628538367347
79,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.989377416612748,21.698096278979587
79,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,2.9918483665462534,21.85479350183673
90,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.8270934853981586,11.406733839438772
90,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.8117090192606264,10.431115885306124
90,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.7269988435387824,5.0591538300000005
90,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,2.9478493823444025,19.064563501836734
99,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.8745103530908054,14.413711594540816
99,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.796803320749355,9.48585935469388
99,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.9241383614513516,17.560910564693877
99,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,3.1276412003518397,30.46620227734693
103,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.80855279398289,10.230961390459184
103,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,2.7530977226017543,6.7142346608163255
103,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,2.880549588661246,14.796694442244899
103,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,2.742828622814168,6.063011665102041
104,1,fixed_gain,fixed_gain:51c258c93a20,0,4.0,16.0,2.760779918214299,7.201407104744898
104,1,fixed_gain,fixed_gain:51c258c93a20,1,49.0,16.0,3.02754414077605,24.11846894653061
104,1,fixed_gain,fixed_gain:51c258c93a20,2,4.0,64.0,4.103783190770715,92.36901015653062
104,1,fixed_gain,fixed_gain:51c258c93a20,3,49.0,64.0,3.3994917862437957,47.705819828367346
