seed,run_id,attempt_name,git_commit,git_dirty,status,source_manifest_sha256,source_revision,dataset_name,test_split_role,formal_config_sha256,config_sha256,environment_sha256,metrics_sha256,task_metrics_sha256,manifest_sha256
10,8dfac89e-2b3c-40a4-a030-ac851a78a96c,20260712T033143.464951Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,b44e0e7dc21087ab3ea25a64dd38adffd936cd4b2e3baaabd10adba233a8e028,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,c8ebceccdd9a2302e2ff65397eca094a38a01b8a6a5b731ffaa9c0da6830773f,6f2f87ebe470770974d8af58521fcfc3edd7e05ed567c52f99e990cd54227c9d,02313312bd0454ee48fc7e39a0b247f3c2c81a8c524d0ad35b950d7d37cd951a
11,21223a90-11af-4115-9baa-1b3d90e4b470,20260712T033145.442153Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,72ca633e2524a034623481a204ec1016b6918b1dde0cb987722e119432396f44,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,44b961fd6c29b65eee754de5fa87eeb772b0458aea3632b1524226243e63f033,e6d4be1fa2cb85dfc9dcf65276774ea6a3294bdc6cd30be5ed1190a0b3d95e23,6d20b385cf9c397f4fab01b139377ee46767daf0c159275b5a5ca710f42bbc96
12,f732a1a6-6fc2-48b8-bf1f-93e775634f7a,20260712T033147.364727Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,085ab498e8ab26153e86d0d037cf43f574c70b642facd2a61a6049c6840f1eaa,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,43c7a8b84532fa3bfdaf9b499de21a716cb860e127b8a1474bf79fb6cdf7241a,e86d7f6214334152a971e43da4e2c567420eff55e9b136d6a518a04c1be6eb52,f9bc88460ea3d24b129c5ee146b8830a488b4186ad5ad17d71253c9f5fb810b7
13,b87a61ad-c0b9-4cf4-a8e8-e567f0a15f69,20260712T033149.343470Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,1df9d20ca98c2f14b71255d163ae202b35dfb48f9b98b18f7b07904eac6d949e,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,324079eb2049887d488682e74249f4fa86b24a4844d7e8d3dcc56df7af2e86fc,97e8cf926756ba7869edc00b2aa3ca6812e9c56efbf8bc51f3bd82c6bc0e37e6,2f0b655155b83c6b32b8ee5f0679efd00d3c8d63681eac7754d4ee5f25f5090f
14,4aba7c72-3c5b-4b79-9b04-06f419f8d4c0,20260712T033151.274220Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,1f1c2e8d2f4c79de130aaa1e14fc181818775a28e9c7354acecd1ec2a3788622,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,45e5c2366a34f5da0ce69c4f84341506b96a0ea6bd697576994d41b5a2d9027f,5c4028a2a75eed179838ce7bef2d34468383f4c127a107a6c59ae7ac12139770,d695b7578591effc7ffb25d85b8e9f1323e3e8a4b7ed3f01b388da22c8be33ab
15,7e2a5d56-7dd3-4376-a6ab-465e4023409b,20260712T033121.825030Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,9a4c1542be7b1e1ed2799d013fa0fcf7a367d6964cba16a8fdd95d4e5801de7d,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,a2969704daca0669122dcccd2c586e6cc21d80be03014e17d544df09d3f4cd34,d107511abee85476a2d5f97e38db392029227ac4e83dd34280117ec25a6c85d3,984c542594a77775f5ba8fe66798b6f6e47bf792c475aeaa6e157a7bc42e96b2
16,77045cf0-d040-4a02-88e2-b11aa1e86b4d,20260712T033125.677349Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,e34f75c8805aa5aad74fffbac707e84e7662a518efd8bab3a052cc21fb746a93,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,704aafa66b08b2dee2533604cfd102d076aa2024624f504b43f2a9b9829f0498,a52f77c357732120c61d9051c22d1f85b2d3f45de0040b93a0720ee174400da3,76525a4c2df5b271153c3de7944871c64d05c126fd639666ac47901235754d8d
17,035b56d9-b3a1-47ec-b459-cd9600075417,20260712T033127.562380Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,8db210b93de2ba12edf11f4cf45690e93c1413e7cebf9a5d487e0ad8084bec93,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,81aa1cb7dc9886565f1f7ef0687ed1eb18be74167a751510de8abd2f6e4cb9e1,21e61cbe98fa84063c35058cb38578c1239665096d319e24bc192ab78d66f59d,26344790b7be226f733a45372c47258c048be596e13d6785dee1f09c0f0bd478
18,a02e1f67-70b8-4aca-9271-cd8878428f23,20260712T033129.530001Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,9bc0f3453915d82c852a27e8fe7e6b19f3dc7cddac7d89c956cbc0c4c5a29fcb,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,5925b13600cb3aeb4772cf9154e4769453dab5ed57c34e5e756f28e7dfdcfffb,94eae10bee5f6b418d6db60b6794caf0f6d04e69e2c25756492cd610204ac64a,50a607ab3975f674d9401341d9053c434d49a0ed861c7ac6e3b6c63912eb6c3b
19,07615038-20a1-4f2b-9db6-747d30f6ecd7,20260712T033131.556075Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,82e61000678e2c941cc5ed70b3c5332174039e71ed4f01741f6d01a61ab838a3,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,59b2fbb24443a7d1915bc83966ed1de37199eb3bb915976a5023bf52a3b78e01,82121a55a30d5dfe6285207baaaf92e93ea1de98e7a9517b33fbfe50cf80dafc,9e03163f8685d85213dd80111a61e963c6e1dfe9a6974090306cb73007c55e61
20,58be7177-3088-4d9f-8b54-ee598b7d0e58,20260712T033133.572204Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,469f488cab56bfdf4b2776fd2748272c275feb17db3c7daaa487e019214d59ce,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,cc78ba5a4ab9504908139be6ccc540f8fd4826bca374122b906f0f35a4f316e0,67ff526becb21335a63db95aaa95a67eb5e135498efd85d274a27b2894dff084,35ad77013bb9f1d14c97e0abf48777293ff360137e6eda67a443ac4b1670898e
21,d70093e1-78b5-48cb-82f1-7cd246d47e42,20260712T033135.563631Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,448e48ef424133ca3bb638500392b161534ed3955afaeaef297cea6f56a594a1,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,c41e77996b3f625e61ff052e299a5b9c6cf512428b2c55694c47afba4b613f32,efba886b455fdb8c13fb0d6657d209ba91a9fe395828b06e4a2ae5e7c9b8b0c4,6d74c9f389e5a0584cafa18e42c3ba60a35a6dd7f504e26da7e885e96c07d37a
22,0ee4fd5c-cbac-4655-bd52-dfb1e53d667b,20260712T033137.702781Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,7bf7bab93c0cea462bb6d205e4840d03b3d4fb01f514c5c4e0e74a17a57a17b2,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,ca2fb93bb6b8fd97f4ff86d854c357e2fcf89be565aa229c8850bc454c2844eb,c6accba57198a75f0f5a80e92666064abe25e40c2c5280407a941f44a3e161d5,8ff904c10101c1e528618a7ffea4410e8de0245819c37867b5823495372e275d
23,0ba4f9c2-4f36-4ef6-8e0d-437947143e72,20260712T033139.743610Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,8de9a87f2cc7f133d2148927f903941e3e0ae5ce1825bcba9cd855a87535ef0e,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,6bf78116d4b3c70864664ca3c4953f1c5cb634e96a0bc5cd2bb9d831af78db51,55cc06a674d09ee34af62870841cbedc4a12d00ea2f55d97d15121647ed0a097,7c06ece3f4b94df46c0646ef2615339930bcfd43490652a35d1b0d2b88eb4996
24,a6c8f40c-530e-47e8-a82d-a65093cf74c3,20260712T033141.788491Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,e74845fe89ff9a987a4907e2d108456ea875cc4f57ec1d84903e6ed821045c5e,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,28c9eb5cfa42ee0ab8e6d42f31bddec9b91cabf9ea0127c0cdfb30fd05d4b4d8,b9ef600963c016d165df3493ebc5fe932d9d85a4b7916223f8ac4ef670bb2351,f795f208d00deee8d945485f89f971bffcfff6ac19e44f9282e41687cb17cb37
25,930c5d34-7489-4109-819a-3202caa1cf29,20260712T033143.832620Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,8b2ecf67f7bf59e25cab6a6f0009d275917e995af6e8afb68138091a36fd4665,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,3c24192761b7fa8560a10cbfe7024674a14a170ccb53206c3dde169db11e2139,9c9853612881fb37484342645264350cc9b4fef4fc23ab78c6da5dc6de8a0af8,72e3747ca2897ffe8fa7932e02b3fc4411e9b0b3f7daaa95e133326609ce67e5
26,feb144b6-dd93-4b5d-a29f-5ab0909473c4,20260712T033145.891594Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,f4c3ddd93d823d8c2fe084127005171c2c9f14fe5aeea9e08982a97a1832657a,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,7f8bbb1f8997155c65e877b5aba8187565b8bde324472340626d8dc2803bc599,087231633cb1a0fe17b22a689b1b0e3d277ee493af52cfd52087b6776c4fd6a1,024b530a6d8368e42fd520e2875cb0a27f28f080c2bf047271caa2b43dd75221
27,10c64dac-51b2-4df2-9c01-c79c09189a59,20260712T033147.807239Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,1b52eb120c0f7dd3d2dd6b7a61953fa42002a15e7163008436873b4996c7efe0,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,81a6f179ac305bc915502c842f04a6bea4c549d217c574ac72b98403f4dc67d6,bcb5ce8be6f4ff58f7b47137f81b9a22dc64bed3b8d45e02e4f59e0bd20dfc3c,f0447e3029590c144a276c127b3f8b4c72399a7ba80a15188c67b928dbf5ea7d
28,87c8c2f8-42d1-4815-8524-5494ebc9187a,20260712T033149.710972Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,da5cb6ee6e8b21469d015da8f6dd006fb82c4624193da7f8f7b31032c2ba9229,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,3a59057a2e04b030c61539a7fdaaf9904914b9c78ba5a967bc224d1bb92794e2,fd2878ddbfa174c00196b4315af7aee6c659b39cdb7450103ebbfc1f83132dcd,7360d3d8233392a8eb3cb071ddbc96c00f88a1c4cb36d40ffa875b1660a62f36
29,c8c50b31-d6ac-4330-b937-9b912ec5ce24,20260712T033151.577421Z,8fba6178e8de0a3a11d3e3dee985d7d3efd6a83d,False,complete,68a19d8a545942a09ae2b22274413bd8915778650d4483506066192add80983f,a71a2d1e0931c79f74cd91c5accd13f164d34c73,albertoRodriguez97/MazeBench,ood,83abf49a90fca31b19038d6db0930294da5a00d12a4225e88ea838a20f8b75d3,d3adf70dc22729ddbe8bda355612ffcbbd94ddab630720641e814a030885fa3f,57c915729b34dcaed744f4f386059860dbb0f382171edfab284134a5665731b6,ac4fe7a7d701d93b9fd882d5150aaa7f50ec28b463b5e5080902c28f4291a40f,33dcdf4fb79ca1abcad2450ff025a28db37482cdf0a7d3932e61cffe0855e002,da5a7e7f7b4e540bef3c71b60189e88716b9f00b52a373208eea55d4ea55f763
